X	HV102_Abd	HV102_Eye	HV102_Leg	HV102_Meso	HV102_Ovi	HV102_Pro	HV102_Wing2	HV102_Wing3	HV3a_Abd	HV3a_Eye	HV3a_Leg	HV3a_Meso	HV3a_Ovi	HV3a_Pro	HV3a_Wing2	HV3a_Wing3	HV7_Abd	HV7_Leg	HV7_Meso	HV7_Pro	HV7_Wing2	id
HV102_Wing3_TRINITY_DN31831_c0_g1	6	8	9	5	14	0	15	28	7	44	4	7	12	17	18	18	9	1	0	2	2	HV102_Wing3_TRINITY_DN31831_c0_g1
HV102_Eye_TRINITY_DN22346_c2_g1	4	171	17	8	3	9	28	19	10	335	12	9	5	19	18	12	11	4	0	6	5	HV102_Eye_TRINITY_DN22346_c2_g1
HV102_Abd_TRINITY_DN20153_c1_g1	29	1	5	3	16	3	8	16	11	11	0	2	3	3	1	4	32	1	0	2	2	HV102_Abd_TRINITY_DN20153_c1_g1
HV102_Wing2_TRINITY_DN26985_c0_g3	28.91	12.15	47.76	61.52	50.32	32.22	137.49	174.47	19.92	28.97	32.87	90.2	112.42	36.51	42.38	227.63	24.2	21.16	30.39	53.71	70.01	HV102_Wing2_TRINITY_DN26985_c0_g3
HV102_Eye_TRINITY_DN20032_c0_g2	191.38	158.81	2010.23	2143.17	62.59	721.76	1212.3	2775.17	241.46	137.6	1925.64	5919.81	722.97	717.24	66.75	1235.67	273.35	186.51	408.26	123.59	29.98	HV102_Eye_TRINITY_DN20032_c0_g2
HV102_Pro_TRINITY_DN16566_c0_g2	0	0	0	0	0	9.12	0	0	0	0	62.53	8.95	0	8.16	0	1.22	0	0	0	10.9	0.31	HV102_Pro_TRINITY_DN16566_c0_g2
HV102_Abd_TRINITY_DN20690_c0_g2	8804	735	1161	1439	4805	1115	405	421	7604	310	265	688	1940	349	275	380	11013	362	551	403	58	HV102_Abd_TRINITY_DN20690_c0_g2
HV102_Wing3_TRINITY_DN32656_c1_g1	28	74	24	27	41	23	91	119	52	463	134	105	155	80	67	175	54	16	21	39	23	HV102_Wing3_TRINITY_DN32656_c1_g1
HV102_Eye_TRINITY_DN21156_c0_g1	406	430	1157	1601	835	714	589	627	653	515	756	1824	419	332	338	556	586	739	164	206	221	HV102_Eye_TRINITY_DN21156_c0_g1
HV102_Wing3_TRINITY_DN32139_c2_g3	31.6	54.2	100.3	108.36	197.01	52.77	86.04	93.02	23.24	47.15	11.59	28.54	27.52	17.51	99.92	47.3	18.45	9.02	0	2.53	16.71	HV102_Wing3_TRINITY_DN32139_c2_g3
HV102_Meso_TRINITY_DN16866_c0_g3	50.31	38.62	105.63	123.81	126.08	56.59	140.01	188.76	39.2	31.06	32.33	48.21	37.59	24.27	29.74	98.3	65.71	36.49	6.91	17	46.8	HV102_Meso_TRINITY_DN16866_c0_g3
HV102_Abd_TRINITY_DN1928_c0_g1	194	145	547	47	163	323	302	162	81	19	22	51	26	29	43	74	2051	5146	1035	7339	84	HV102_Abd_TRINITY_DN1928_c0_g1
HV102_Eye_TRINITY_DN21800_c0_g3	41	185	123.26	49	17	49.89	51	62.97	86	327	156	56	81	55	15.3	33	144.41	41	12	9	3	HV102_Eye_TRINITY_DN21800_c0_g3
HV102_Leg_TRINITY_DN18502_c0_g1	107.03	82.91	375.49	485.33	353.96	318.16	572.61	683.34	48.05	22.62	89.33	187.58	151.62	78.99	91.36	326.75	158.78	97.83	65.28	142.57	94.81	HV102_Leg_TRINITY_DN18502_c0_g1
HV102_Abd_TRINITY_DN15767_c0_g1	317	281	713	765	1014	445	657	754	462	217	280	496	657	248	759	814	411	193	86	81	231	HV102_Abd_TRINITY_DN15767_c0_g1
HV102_Leg_TRINITY_DN20175_c6_g2	23.46	139.26	163.49	237.07	300.33	104.65	119.12	164.46	1.84	0	9	0	1	8	8	0	0	10	0	3	14	HV102_Leg_TRINITY_DN20175_c6_g2
HV102_Abd_TRINITY_DN17681_c0_g1	384	0	5	9	1	1	6	8	21	0	1	2	159	0	0	5	2561	1	4	0	0	HV102_Abd_TRINITY_DN17681_c0_g1
HV102_Ovi_TRINITY_DN22324_c0_g1	6	1	6	0	10	2	2	0	1	2	1	2	4	2	4	1	2	0	0	0	0	HV102_Ovi_TRINITY_DN22324_c0_g1
HV102_Ovi_TRINITY_DN6617_c0_g1	1	3	2	2	4	0	1	10	0	0	2	0	2	0	0	4	0	0	0	0	0	HV102_Ovi_TRINITY_DN6617_c0_g1
HV102_Leg_TRINITY_DN11922_c0_g1	0	11	14	1	1	9	1	0	2	20	6	4	0	0	0	0	1	8	1	0	0	HV102_Leg_TRINITY_DN11922_c0_g1
HV102_Wing2_TRINITY_DN27288_c1_g1	33.78	23.02	74.23	67.37	93.82	44.87	103.43	123.99	32.04	27.65	27.88	17.18	37.13	8.99	58.36	41.37	14.02	6.54	4.87	0	7.35	HV102_Wing2_TRINITY_DN27288_c1_g1
HV102_Abd_TRINITY_DN21914_c0_g1	5151.47	666.09	1589.53	1388.78	2076.01	778.85	264.14	286.65	5780.49	671.93	488.05	1761.77	1798.7	280.95	236.93	379.52	6071.47	680.51	241.15	232.62	56.57	HV102_Abd_TRINITY_DN21914_c0_g1
HV102_Wing2_TRINITY_DN27080_c0_g1	5	1	4	8.69	4	0	9	7	4	7.57	5	3	4	4	4	9.7	4	1	1	2	2	HV102_Wing2_TRINITY_DN27080_c0_g1
HV102_Abd_TRINITY_DN22040_c0_g1	107	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	29	0	0	0	0	HV102_Abd_TRINITY_DN22040_c0_g1
HV102_Leg_TRINITY_DN20462_c0_g1	38.07	39.19	542.03	256.42	117.02	244.08	28.14	49.57	171.16	102.6	379.42	199.76	86.28	117.74	9.62	9.28	84.28	174.83	53.84	43.92	10	HV102_Leg_TRINITY_DN20462_c0_g1
HV102_Wing2_TRINITY_DN25881_c0_g1	0	1.79	1.7	8.52	3.55	4.28	13.29	3.56	0	0	0	0	0	0	0	0	0	0	0	0	0	HV102_Wing2_TRINITY_DN25881_c0_g1
HV102_Eye_TRINITY_DN21906_c0_g1	731	1064	2596	1583	2179	1505	2502	2484	815	1396	1548	437	1382	674	842	1108	1573	1725	129	375	909	HV102_Eye_TRINITY_DN21906_c0_g1
HV102_Eye_TRINITY_DN21931_c0_g1	129.59	597.53	419.4	490.47	552.52	308.5	1350.02	1187.34	82.14	255.03	141.19	71.23	176.86	74.62	181.69	249.28	76.63	122.18	40	42.61	73.14	HV102_Eye_TRINITY_DN21931_c0_g1
HV102_Eye_TRINITY_DN13152_c0_g6	0	15	3	1	0	2	5	2	8	39	4	4	14	10	0	7	4	2	0	0	0	HV102_Eye_TRINITY_DN13152_c0_g6
HV102_Wing2_TRINITY_DN24495_c0_g1	199.86	201.74	477.53	472.31	636.78	259.04	627.11	730.16	241.4	162.85	176.04	348.71	183.26	133.33	240.39	457.97	269.09	125.61	79.24	99.84	121.19	HV102_Wing2_TRINITY_DN24495_c0_g1
HV102_Wing2_TRINITY_DN28992_c1_g1	50.53	21	87	57	50	26	139.49	219	141	495	195	90.49	242.47	94	163	365	64	25	19	29	36	HV102_Wing2_TRINITY_DN28992_c1_g1
HV102_Abd_TRINITY_DN22167_c4_g1	760	780	2345	1883	3116	1684	3873	4033	1007	360	1216	602	1137	990	1374	1427	782	733	183	639	1187	HV102_Abd_TRINITY_DN22167_c4_g1
HV102_Wing3_TRINITY_DN30189_c0_g2	11	17	46	39	57	27	40	45	31	28	13	23	25	19	41	51	25	19	5	15	20	HV102_Wing3_TRINITY_DN30189_c0_g2
HV102_Wing2_TRINITY_DN28095_c0_g1	60.59	24.41	89.02	120.57	100.61	83.26	275.31	330.47	24.22	34.21	24.37	59.1	115.61	45.61	96.92	147.17	29.7	15.59	29.2	14.26	62.27	HV102_Wing2_TRINITY_DN28095_c0_g1
HV102_Wing3_TRINITY_DN34119_c0_g1	0	0	0	1	0	0	0	6	0	0	0	0	0	1	0	0	2	0	0	0	0	HV102_Wing3_TRINITY_DN34119_c0_g1
HV102_Leg_TRINITY_DN16885_c0_g1	19	20	70	91	77	36	96	179	14	40	47	19	21	38	31	30	3	7	5	4	11	HV102_Leg_TRINITY_DN16885_c0_g1
HV102_Wing3_TRINITY_DN32958_c0_g1	133.75	203.19	247.95	273.26	52	252.11	414.66	706.09	385.34	429.5	664.58	302.81	259.31	327.01	90.73	462.83	161.99	52.31	67.43	38.59	20.36	HV102_Wing3_TRINITY_DN32958_c0_g1
HV102_Abd_TRINITY_DN17942_c0_g1	1251	1481	2903	3673	4180	1874	4693	5278	1576	1838	1437	1035	1261	920	1420	1455	1660	1008	286	478	1408	HV102_Abd_TRINITY_DN17942_c0_g1
HV102_Wing2_TRINITY_DN21995_c0_g1	305	1075	53831	1236	2140	2110	571	606	1690	27	46315	5035	2849	4160	3375	2220	235	1227	42	244	162	HV102_Wing2_TRINITY_DN21995_c0_g1
HV102_Wing2_TRINITY_DN18654_c0_g1	0	0	0	2.85	1.4	0	5.48	4.45	2.5	6.03	0	2.23	2.26	3.27	1.82	1.45	1.16	0	0	0	0	HV102_Wing2_TRINITY_DN18654_c0_g1
HV102_Wing2_TRINITY_DN30240_c2_g1	12.55	27.61	18.78	58.03	14.61	30.99	125.47	221.13	23.57	63.35	37.53	114.85	149	21.14	32.62	542.58	41.87	7.44	3.54	8.81	19.11	HV102_Wing2_TRINITY_DN30240_c2_g1
HV102_Eye_TRINITY_DN19457_c2_g1	75	79	263	216	255	116	402	436	102	111	115	138	298	82	330	354	88	25	16	17	85	HV102_Eye_TRINITY_DN19457_c2_g1
HV102_Eye_TRINITY_DN18439_c0_g1	16	171	8	0	43	54	0	0	5	280	2	2	5	7	1	3	32	10	0	12	0	HV102_Eye_TRINITY_DN18439_c0_g1
HV102_Leg_TRINITY_DN17988_c0_g1	275.92	75.03	264.26	47.15	93.75	48.38	10.89	19.89	296.63	104.1	201.7	93.08	87.45	68.55	30.25	44.52	435.33	142.54	38.73	112.56	24.69	HV102_Leg_TRINITY_DN17988_c0_g1
HV102_Meso_TRINITY_DN17050_c0_g1	16.72	5.79	16.35	33.32	16.76	11	14.41	8.78	32.99	2.27	7.87	10.74	11.57	1.28	7.91	9.63	11.47	6.1	3.41	2.31	2.97	HV102_Meso_TRINITY_DN17050_c0_g1
HV102_Wing3_TRINITY_DN34743_c0_g1	0	1	0	1	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	HV102_Wing3_TRINITY_DN34743_c0_g1
HV102_Leg_TRINITY_DN18312_c0_g1	723.35	942.02	1694.27	1455.96	1000.69	1049.54	1916.73	2253.22	1268.65	1783.06	1025.58	989.07	1060.24	666.91	736.51	1199.28	1316.15	542.42	242.57	341.44	647.14	HV102_Leg_TRINITY_DN18312_c0_g1
HV102_Pro_TRINITY_DN11320_c0_g3	4.03	0	1.66	0	0	3.14	0.02	0	5.06	1.59	3.55	0.15	0	0	0	0	12.17	5.14	0	0	0	HV102_Pro_TRINITY_DN11320_c0_g3
HV102_Abd_TRINITY_DN19093_c0_g1	409	31	36	15	107	9	10	8	77	40	13	7	28	4	2	2	439	53	1	5	6	HV102_Abd_TRINITY_DN19093_c0_g1
HV102_Leg_TRINITY_DN18924_c0_g1	582.05	498.78	1544.96	690.76	1245.63	993.3	498.25	646.91	1022.32	445.49	631.35	783.76	721.23	508.92	603.13	1697.55	684.41	924.55	254.36	563.46	168.67	HV102_Leg_TRINITY_DN18924_c0_g1
HV102_Ovi_TRINITY_DN23171_c0_g1	0	1.37	1.27	5.36	6.79	3.54	5.12	9.13	2.29	0	4.62	0	5.17	2.7	0	1.57	4.28	1.53	0	1	0	HV102_Ovi_TRINITY_DN23171_c0_g1
HV102_Abd_TRINITY_DN20784_c0_g1	636.67	108.58	5491.7	889.29	264.14	2719.06	219.28	750.47	611.94	184.45	4728.42	1014.64	397.46	1095.56	81.84	152.65	1189.61	2730.94	465.21	559.82	57.68	HV102_Abd_TRINITY_DN20784_c0_g1
HV102_Wing3_TRINITY_DN32033_c2_g2	0	0	1	0	1	0	4	4	0	3	1	0	0	0	1	1	1	0	0	0	0	HV102_Wing3_TRINITY_DN32033_c2_g2
HV102_Wing2_TRINITY_DN2979_c0_g1	7	5	2	0	6	0	6	4	1	5	0	0	3	2	0	0	3	6	0	1	0	HV102_Wing2_TRINITY_DN2979_c0_g1
HV102_Abd_TRINITY_DN18622_c0_g1	18	8	2	0	1	0	1	2	3	16	1	1	8	0	1	0	4	0	0	0	0	HV102_Abd_TRINITY_DN18622_c0_g1
HV102_Ovi_TRINITY_DN21106_c0_g1	194.27	247.81	345.57	355.75	605.33	179.16	403.5	472.06	272.66	392.39	169.1	114.76	296.97	128.78	320.85	303.86	329.61	115.69	38.34	65.33	162.5	HV102_Ovi_TRINITY_DN21106_c0_g1
HV102_Abd_TRINITY_DN18659_c0_g1	147	66	243	96	138	68	52	53	330	54	121	41	94	29	24	32	423	77	12	33	20	HV102_Abd_TRINITY_DN18659_c0_g1
HV102_Abd_TRINITY_DN20603_c1_g4	529	308	1139	646	635	726	351	407	1162	451	656	370	406	329	214	253	1153	429	86	187	174	HV102_Abd_TRINITY_DN20603_c1_g4
HV102_Leg_TRINITY_DN18569_c0_g1	420	264	987	145	232	205	1278	750	320	185	446	113	108	147	275	419	1554	463	504	960	1570	HV102_Leg_TRINITY_DN18569_c0_g1
HV102_Eye_TRINITY_DN18165_c0_g1	0	196	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	HV102_Eye_TRINITY_DN18165_c0_g1
HV102_Leg_TRINITY_DN11062_c0_g1	8	4	13	11	5	5	14	7	2	5	3	1	6	1	3	11	8	0	0	1	3	HV102_Leg_TRINITY_DN11062_c0_g1
HV102_Abd_TRINITY_DN16727_c0_g4	37	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	54	0	0	0	0	HV102_Abd_TRINITY_DN16727_c0_g4
HV102_Wing2_TRINITY_DN29986_c0_g4	11	20	23	22	18	14	53	55	42	94	33	21	59	16	51	92	27	13	5	8	5	HV102_Wing2_TRINITY_DN29986_c0_g4
HV102_Meso_TRINITY_DN19433_c0_g1	818	389	820	601	539	495	1255	1538	1429	439	547	419	799	409	597	1018	1011	151	126	146	423	HV102_Meso_TRINITY_DN19433_c0_g1
HV102_Eye_TRINITY_DN18597_c4_g2	4.77	13.56	0	12.93	1.98	10.46	18.8	52.91	10.33	3.47	0	0	3.25	4.58	6.05	6.93	0	0	2.03	0	2.96	HV102_Eye_TRINITY_DN18597_c4_g2
HV102_Eye_TRINITY_DN20459_c0_g1	22.69	99.91	140.34	108.41	44.64	104.16	29.95	39.63	54.36	119.91	153.96	33.93	22.24	28.63	3.85	11.09	70.09	70.68	7.93	19.07	20.37	HV102_Eye_TRINITY_DN20459_c0_g1
HV102_Wing3_TRINITY_DN5093_c0_g1	0	3	0	0	0	1	0	5	3	4	4	0	1	0	0	9	0	0	0	0	0	HV102_Wing3_TRINITY_DN5093_c0_g1
HV102_Eye_TRINITY_DN19361_c2_g1	18.05	99	95.29	91.51	117.87	39.97	138.32	119.01	28	86.26	22.81	28.85	42.74	15.34	83.09	47.84	20.63	12.36	2.41	2.63	9.35	HV102_Eye_TRINITY_DN19361_c2_g1
HV102_Eye_TRINITY_DN21160_c1_g1	10213.66	1881.94	263028.6	69823.86	3340.65	134899.92	10870.56	24315.29	11941.24	2408.12	261192.6	63718.11	6315.5	40806.38	962.66	3322.5	18752.38	157078.43	24192.13	22772.53	75.76	HV102_Eye_TRINITY_DN21160_c1_g1
HV102_Eye_TRINITY_DN19852_c0_g2	26.3	44.91	17.12	23.19	33.42	29.64	2.34	2.53	33.33	10.63	13.08	17.27	16.58	14.66	5	5.16	32.33	3.72	8.75	4.44	4	HV102_Eye_TRINITY_DN19852_c0_g2
HV102_Eye_TRINITY_DN13603_c0_g1	49	57	111	144	175	67	156	176	79	80	68	63	130	36	120	174	37	30	15	8	29	HV102_Eye_TRINITY_DN13603_c0_g1
HV102_Wing2_TRINITY_DN31066_c2_g2	8.32	1	3.14	3.04	1.02	3.03	13.26	24.61	0	0	0	0	2	1.02	2.04	4.19	2.24	0	2.12	2.21	0	HV102_Wing2_TRINITY_DN31066_c2_g2
HV102_Eye_TRINITY_DN19488_c0_g2	3	138	42	16	28	30	17	8	10	82	20	11	30	15	6	13	4	7	8	8	5	HV102_Eye_TRINITY_DN19488_c0_g2
HV102_Leg_TRINITY_DN17463_c0_g1	426	108	374	201	213	228	64	63	465	66	198	244	77	65	33	47	306	133	31	36	5	HV102_Leg_TRINITY_DN17463_c0_g1
HV102_Pro_TRINITY_DN15412_c0_g1	275	415	822	703	955	605	661	806	523	419	428	504	426	343	516	554	338	266	86	124	214	HV102_Pro_TRINITY_DN15412_c0_g1
HV102_Leg_TRINITY_DN13129_c0_g1	11	10	49	4	13	5	16	18	20	14	42	15	19	8	32	28	26	31	12	38	79	HV102_Leg_TRINITY_DN13129_c0_g1
HV102_Abd_TRINITY_DN15305_c0_g1	134	302	109	81	68	51	141	152	160	520	83	35	99.01	51	63	88	339	17	7	13	31	HV102_Abd_TRINITY_DN15305_c0_g1
HV102_Wing3_TRINITY_DN31342_c0_g1	127.64	108.46	460.16	263.89	62.89	116.17	474.56	900.4	361.06	319.89	201.71	364.33	492.76	147.81	369.43	945.47	97.88	7.18	57.62	16.5	31.58	HV102_Wing3_TRINITY_DN31342_c0_g1
HV102_Eye_TRINITY_DN15463_c0_g1	15.84	37.35	50.85	38.22	33.02	0	29.27	32.49	6.35	25.89	21.08	27.48	13.59	9.68	17.76	25.04	22.64	9.37	0	3.31	0	HV102_Eye_TRINITY_DN15463_c0_g1
HV102_Abd_TRINITY_DN5481_c0_g1	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	HV102_Abd_TRINITY_DN5481_c0_g1
HV102_Abd_TRINITY_DN18252_c0_g1	243	174	420	411	398	184	398	455	115	155	138	178	96	125	188	219	98	30	24	20	75	HV102_Abd_TRINITY_DN18252_c0_g1
HV102_Abd_TRINITY_DN1358_c0_g1	986	1602	3217	3315	4094	2089	2997	3669	2798	1850	1807	2911	1955	1756	3383	4520	1475	1297	549	631	897	HV102_Abd_TRINITY_DN1358_c0_g1
HV102_Wing2_TRINITY_DN21480_c0_g1	14	36	16	10	10	8	66	97	35	87	26	30	55	32	8	78	15	8	10	13	24	HV102_Wing2_TRINITY_DN21480_c0_g1
HV102_Eye_TRINITY_DN20621_c0_g1	18.67	74.91	77.88	86.52	114.38	85.53	123.47	139.21	193.44	202.46	147.82	106.23	149.41	64.05	241.89	237.12	63.26	55.56	16.41	27.43	74.92	HV102_Eye_TRINITY_DN20621_c0_g1
HV102_Wing3_TRINITY_DN24001_c0_g1	1	10	6	4	8	3	12	16	2	29	10	7	19	2	5	10	11	0	0	6	1	HV102_Wing3_TRINITY_DN24001_c0_g1
HV102_Eye_TRINITY_DN13112_c0_g3	0	33	27	0	1	1	12	3	0	56	14	1	3	2	11	10	2	2	1	1	0	HV102_Eye_TRINITY_DN13112_c0_g3
HV102_Meso_TRINITY_DN8472_c0_g1	53	30	79	88	150	47	143	152	104	70	49	59	109	38	98	160	41	8	8	11	38	HV102_Meso_TRINITY_DN8472_c0_g1
HV102_Wing2_TRINITY_DN28099_c1_g1	980	642	1001	748	1293	865	501	473	2093	1082	731	389	580	487	561	386	1192	338	71	231	130	HV102_Wing2_TRINITY_DN28099_c1_g1
HV102_Eye_TRINITY_DN274_c0_g1	0	84	3	0	0	0	2	0	1	173	4	0	0	0	0	0	0	1	0	0	0	HV102_Eye_TRINITY_DN274_c0_g1
HV102_Eye_TRINITY_DN15834_c0_g3	1	45	0	1	1	0	0	2	1	108	0	1	2	0	0	0	0	1	0	0	0	HV102_Eye_TRINITY_DN15834_c0_g3
HV102_Abd_TRINITY_DN14830_c0_g1	44.82	7.86	9.23	7.75	0	39.13	2.92	7.63	129.46	46.83	3.32	21.34	0	54.68	16.83	5.71	122.98	0	6.74	41.96	6.23	HV102_Abd_TRINITY_DN14830_c0_g1
HV102_Abd_TRINITY_DN4696_c0_g1	165	202	314	231	500	212	301	262	213	167	185	151	216	128	295	222	152	112	27	58	100	HV102_Abd_TRINITY_DN4696_c0_g1
HV102_Wing3_TRINITY_DN32346_c2_g5	3	2	0	0	1	3	2	19	1	2	2	0	1	0	2	2	0	1	0	0	5	HV102_Wing3_TRINITY_DN32346_c2_g5
HV102_Eye_TRINITY_DN17833_c0_g1	279	415	792	1002	860	450	488	571	277	440	313	620	241	138	294	297	310	334	78	98	141	HV102_Eye_TRINITY_DN17833_c0_g1
HV102_Abd_TRINITY_DN19160_c0_g1	664	0	2	11	535	13	2	4	479	2	0	7	75	6	1	0	430	0	6	2	2	HV102_Abd_TRINITY_DN19160_c0_g1
HV102_Leg_TRINITY_DN17689_c0_g1	178	187	424	407	464	217	464	623	276	303	249	334	389	162	445	446	178	75	42	71	137	HV102_Leg_TRINITY_DN17689_c0_g1
HV102_Eye_TRINITY_DN18958_c2_g2	7.95	34.59	12.47	21.13	5.15	10.49	54.39	107.83	27.26	31.26	35	47.48	92.79	10.04	12.14	190.22	32.73	3.02	12.98	4.97	12.41	HV102_Eye_TRINITY_DN18958_c2_g2
HV102_Wing3_TRINITY_DN23852_c0_g1	5.26	3.91	19	10	7.86	4.95	34.74	123	25	21.96	32	5.54	37	19	16	71	12	7.96	6.05	8	25	HV102_Wing3_TRINITY_DN23852_c0_g1
HV102_Abd_TRINITY_DN20964_c0_g1	467.7	923.03	1334.06	838.3	1039.08	786.2	1085.62	1435.79	672.78	1674.56	705.42	589.22	647.54	479.78	721.83	1450.8	886.45	364.83	149.04	283.71	293.95	HV102_Abd_TRINITY_DN20964_c0_g1
HV102_Abd_TRINITY_DN13917_c0_g3	20.21	20.37	38.98	28.48	24.12	16.04	42.85	64.91	21.2	51.94	25.95	26.08	37.76	16.06	21.52	77.27	23.12	7.14	6.6	8.63	4.34	HV102_Abd_TRINITY_DN13917_c0_g3
HV102_Eye_TRINITY_DN18708_c0_g1	60	101	197	303	295	152	277	328	122	120	103	200	151	66	140	184	103	57	32	35	69	HV102_Eye_TRINITY_DN18708_c0_g1
HV102_Abd_TRINITY_DN15760_c0_g1	526	762	1790	1919	2216	984	1547	1734	609	870	653	746	784	352	976	788	528	547	130	159	436	HV102_Abd_TRINITY_DN15760_c0_g1
HV102_Ovi_TRINITY_DN21763_c1_g1	218.33	271.81	857.88	578.61	907.71	475.66	644.7	773.69	321.17	303.89	412.07	285.02	324.73	226.38	480.1	533.49	204.97	166.38	49.64	83.44	158.54	HV102_Ovi_TRINITY_DN21763_c1_g1
HV102_Wing3_TRINITY_DN27583_c0_g2	205	279	376	361	249	218	791	1100	520	504	316	396	1090	255	367	1419	404	79	101	101	227	HV102_Wing3_TRINITY_DN27583_c0_g2
HV102_Leg_TRINITY_DN14217_c0_g2	59	25	121	19	44	50	24	22	190	147	102	53	28	54	61	77	32	12	3	17	3	HV102_Leg_TRINITY_DN14217_c0_g2
HV102_Leg_TRINITY_DN16236_c0_g1	54	30	842	288	198	486	25	82	133	40	321	159	75	89	4	5	100	272	51	52	1	HV102_Leg_TRINITY_DN16236_c0_g1
HV102_Eye_TRINITY_DN21426_c0_g4	0	12	0	1	0	0	0	0	0	35	0	0	1	1	1	0	0	0	0	0	0	HV102_Eye_TRINITY_DN21426_c0_g4
HV102_Wing3_TRINITY_DN5616_c0_g1	2	7	5	5	3	5	28	24	9	60	12	9	10	10	8	23	4	2	2	2	2	HV102_Wing3_TRINITY_DN5616_c0_g1
HV102_Abd_TRINITY_DN20780_c2_g1	407	250.16	659.15	399.33	714.95	375.9	721.65	727.6	503.14	149.77	447.99	450.72	364.73	285.2	446.08	751.51	978.04	294.17	169.92	321.05	389.31	HV102_Abd_TRINITY_DN20780_c2_g1
HV102_Leg_TRINITY_DN9803_c0_g1	3	0	18	1	2	3	0	1	1	0	11	0	1	2	1	0	2	5	0	1	1	HV102_Leg_TRINITY_DN9803_c0_g1
HV102_Meso_TRINITY_DN19544_c2_g1	1	1	6	11	1	7	2	6	10	4	3	1	5	5	0	3	1	0	0	0	0	HV102_Meso_TRINITY_DN19544_c2_g1
HV102_Meso_TRINITY_DN18051_c0_g1	74.67	117.09	137.56	192.11	140.05	98.62	252.91	279.88	111.32	243.24	99.34	63.79	199.74	62.66	189.27	203.35	55.98	49.61	9.5	34.4	58.23	HV102_Meso_TRINITY_DN18051_c0_g1
HV102_Abd_TRINITY_DN17304_c0_g2	53	107	131	80	114	62	134	186	89	138	51	67	93	48	121	173	83	37	16	27	57	HV102_Abd_TRINITY_DN17304_c0_g2
HV102_Ovi_TRINITY_DN15146_c0_g1	268.37	281.89	890.74	1014.99	1222.16	549.91	1012.75	1247.01	578.36	536.94	393.18	918.91	984.56	386.07	1208.53	1810.74	292.8	248.79	87.49	105.37	307.81	HV102_Ovi_TRINITY_DN15146_c0_g1
HV102_Leg_TRINITY_DN20014_c0_g2	12.98	1.33	254.09	285.97	26.5	73.21	8.13	36.46	7.78	0	103.51	33.54	11.48	7.3	1.67	0	15.59	155.69	30.98	37.73	0	HV102_Leg_TRINITY_DN20014_c0_g2
HV102_Leg_TRINITY_DN18074_c0_g1	5	15	126	15	3	93	4	3	51	74	147	6	6	36	0	0	12	85	4	20	0	HV102_Leg_TRINITY_DN18074_c0_g1
HV102_Ovi_TRINITY_DN18890_c2_g3	1046.53	5300.79	4274.73	4723.46	4550.88	2610.07	4563.35	5887.97	1487.57	7222.7	1827.89	3319.9	2153.61	1148.97	1876.07	3018.46	1201.75	985.56	408.05	557.38	1284.43	HV102_Ovi_TRINITY_DN18890_c2_g3
HV102_Pro_TRINITY_DN13934_c0_g2	990	847	2828	1290	1425	1367	1234	1531	1944	914	1630	924	1462	891	1210	1912	4110	1176	284	771	509	HV102_Pro_TRINITY_DN13934_c0_g2
HV102_Pro_TRINITY_DN12998_c0_g1	167.66	342.53	767.73	1081.38	784.97	421.38	753.77	1023.04	388.89	397.33	332.16	409.35	567.5	252.07	623.34	603.02	285.43	145.38	110.58	90	195.99	HV102_Pro_TRINITY_DN12998_c0_g1
HV102_Leg_TRINITY_DN8296_c0_g1	0	2	3.47	2	1	1	1	7.65	1	3.58	2	2	0	2	2.51	3	1	0	2	0	1	HV102_Leg_TRINITY_DN8296_c0_g1
HV102_Pro_TRINITY_DN17132_c1_g1	371.9	148.78	7745.9	4098.27	1393.65	4554	191.81	856.44	451.7	113.02	6987.95	1341.46	1122	1350.19	30.41	57.82	677.2	5997.42	401.14	763.82	39.27	HV102_Pro_TRINITY_DN17132_c1_g1
HV102_Ovi_TRINITY_DN13818_c0_g1	73.75	65.3	152.25	164.71	213.05	80.98	107.13	114.06	112.12	60.08	67.93	106.88	145.21	71.09	140.95	118.19	111.58	33.05	8.79	13.71	45.76	HV102_Ovi_TRINITY_DN13818_c0_g1
HV102_Eye_TRINITY_DN19591_c1_g1	27.84	25.48	69.38	73.33	63.59	95.31	230.38	235.33	95.27	22.85	7.71	25.03	38.19	26.45	51.22	177.79	198.45	26.66	15.79	17.41	43.92	HV102_Eye_TRINITY_DN19591_c1_g1
HV102_Meso_TRINITY_DN16725_c0_g2	91.9	109	247	301	371	158	282	365	179	156	105	196	294	106.85	300	422.8	95	36	38	46	74	HV102_Meso_TRINITY_DN16725_c0_g2
HV102_Meso_TRINITY_DN15834_c0_g4	9	9	14	47	20	29	53	52	14	5	5	2	7	4	2	9	5	5	0	3	1	HV102_Meso_TRINITY_DN15834_c0_g4
HV102_Abd_TRINITY_DN14435_c0_g1	179	0	1	2	1	2	5	1	57	19	7	6	24	6	12	22	229	0	0	0	0	HV102_Abd_TRINITY_DN14435_c0_g1
