X	HV102_Abd	HV102_Eye	HV102_Leg	HV102_Meso	HV102_Ovi	HV102_Pro	HV102_Wing2	HV102_Wing3	HV3a_Abd	HV3a_Eye	HV3a_Leg	HV3a_Meso	HV3a_Ovi	HV3a_Pro	HV3a_Wing2	HV3a_Wing3	HV7_Abd	HV7_Leg	HV7_Meso	HV7_Pro	HV7_Wing2	id
HV102_Abd_TRINITY_DN21052_c0_g1	307	173	676	729	993	315	665	950	194	151	160	297	402	110	276	453	279	167	58	69	300	HV102_Abd_TRINITY_DN21052_c0_g1
HV102_Abd_TRINITY_DN5007_c0_g1	121	172	432	294	458	148	278	283	205	275	159	169	300	101	423	269	216	102	55	66	172	HV102_Abd_TRINITY_DN5007_c0_g1
HV102_Meso_TRINITY_DN18600_c0_g1	101	177	267	778	741	354	657	604	142	152	78	153	257	100	102	103	131	30	50	11	99	HV102_Meso_TRINITY_DN18600_c0_g1
HV102_Ovi_TRINITY_DN15572_c0_g1	0	0	0	1	4.01	0	0	2	0	6.58	0	1	3.61	0	0	0	0	1	0	0	2	HV102_Ovi_TRINITY_DN15572_c0_g1
HV102_Abd_TRINITY_DN21216_c1_g2	462	645	927	1141	1028	560	1012	1151	495	1195	511	413	565	340	523	777	669	366	123	250	494	HV102_Abd_TRINITY_DN21216_c1_g2
HV102_Wing2_TRINITY_DN30787_c0_g2	18	26	39	67	74	35	85	101	12	38	11	20	47	7	44	40	21	18	9	14	48	HV102_Wing2_TRINITY_DN30787_c0_g2
HV102_Abd_TRINITY_DN19828_c0_g2	601	643	2488	2807	2192	1253	1830	2229	1105	858	1559	1640	1354	864	1861	1669	883	1315	371	439	873	HV102_Abd_TRINITY_DN19828_c0_g2
HV102_Meso_TRINITY_DN9292_c0_g1	74	105	291	268	107	188	69	66	68	68	186	148	34	64	19	33	268	186	54	82	75	HV102_Meso_TRINITY_DN9292_c0_g1
HV102_Leg_TRINITY_DN22167_c0_g1	0	0	5	0	0	1	1	0	0	0	0	2	0	0	2	0	0	0	0	0	1	HV102_Leg_TRINITY_DN22167_c0_g1
HV102_Wing2_TRINITY_DN23113_c0_g1	19	0	23	26	3	1	101	16	2	4	13	1	1	0	39	7	4	18	0	0	9	HV102_Wing2_TRINITY_DN23113_c0_g1
HV102_Wing2_TRINITY_DN26633_c0_g1	35.95	55.93	70.92	81.93	39.71	46.39	164.45	260.46	32.6	65.19	75.83	74.79	123.65	37.98	40.23	177.02	50.29	28.69	23	11.69	50.59	HV102_Wing2_TRINITY_DN26633_c0_g1
HV102_Eye_TRINITY_DN20542_c0_g1	258.86	1294.83	515.83	1983.14	1501.77	515.4	630.98	1042.84	739.22	2044.53	282.65	742.32	882.18	201.77	486.5	919.71	593.98	189.4	40.06	96.73	133.18	HV102_Eye_TRINITY_DN20542_c0_g1
HV102_Wing3_TRINITY_DN31886_c0_g1	27.24	30.8	37.98	67.92	85.93	55.07	63.01	71.55	51.66	16.85	25.41	93.23	34.8	34.92	36.49	82.99	17.99	16.41	5.07	14.63	18.49	HV102_Wing3_TRINITY_DN31886_c0_g1
HV102_Eye_TRINITY_DN20287_c0_g1	37	705	196	22	17	70	13	13	19	1811	291	16	60	46	8	11	23	117	10	48	4	HV102_Eye_TRINITY_DN20287_c0_g1
HV102_Eye_TRINITY_DN16470_c0_g1	126	112	360	457	507	186	304	413	189	172	146	329	255	101	271	356	155	97	45	38	79	HV102_Eye_TRINITY_DN16470_c0_g1
HV102_Wing3_TRINITY_DN33625_c0_g1	965.3	966.02	9237.51	3559.21	1808.93	5324.49	1051.38	1320.47	2044.33	1594.63	5356.95	1343.08	791.86	1438.46	535.4	564.36	1079.97	5741.88	366.12	1330.76	409.71	HV102_Wing3_TRINITY_DN33625_c0_g1
HV102_Abd_TRINITY_DN14063_c0_g1	194	193	559	630	895	324	537	695	363	225	209	356	505	157	767	632	199	84	50	65	155	HV102_Abd_TRINITY_DN14063_c0_g1
HV102_Wing2_TRINITY_DN29391_c3_g1	776.71	412.58	1036.15	1007.6	887.73	528.68	1249.65	1876.42	1316.6	964.88	1083.55	730.08	1623.67	592.69	1158.5	1803.47	953.29	384.5	207.38	267.71	613.47	HV102_Wing2_TRINITY_DN29391_c3_g1
HV102_Abd_TRINITY_DN15456_c0_g1	405	391	2039	1442	541	928	256	328	410	430	1209	1156	169	351	266	227	639	1068	130	260	98	HV102_Abd_TRINITY_DN15456_c0_g1
HV102_Wing3_TRINITY_DN5864_c0_g1	2	0	1	1	2	0	4	7	7	0	2	1	3	2	3	2	1	0	0	0	0	HV102_Wing3_TRINITY_DN5864_c0_g1
HV102_Abd_TRINITY_DN15014_c0_g1	313	165.28	980.34	178.88	383.51	302.77	163.05	328	411.66	213.28	380.75	240.13	316.35	202.95	339.67	609	630.99	483.51	196.2	453.1	458.07	HV102_Abd_TRINITY_DN15014_c0_g1
HV102_Leg_TRINITY_DN16690_c0_g1	46	75	147	155	183	88	162	180	88	90	65	191	149	62	105	275	74	32	31	39	58	HV102_Leg_TRINITY_DN16690_c0_g1
HV102_Abd_TRINITY_DN7952_c0_g1	4008	22055	13877	10765	13735	8505	9024	9557	5606	34225	7396	5390	3590	4111	6058	4359	6907	7798	1655	2832	5278	HV102_Abd_TRINITY_DN7952_c0_g1
