X	ECEF_Abd	ECEF_Eye	ECEF_Leg	ECEF_Meso	ECEF_Ovi	ECEF_Pro	ECEF_Wing2	ECEF_Wing3	ECFisC_Abd	ECFisC_Eye	ECFisC_Leg	ECFisC_Meso	ECFisC_Ovi	ECFisC_Pro	ECFisC_Wing2	ECFisC_Wing3	ECty4_Abd	ECty4_Eye	ECty4_Leg	ECty4_Meso	ECty4_Ovi	ECty4_Pro	ECty4_Wing2	ECty4_Wing3	id
ECEF_Eye_TRINITY_DN22504_c0_g3	4	17	10	17	3	6	16	6	4	4	2	15	27	20	18	21	5	26	6	16	21	1	18	2	ECEF_Eye_TRINITY_DN22504_c0_g3
ECEF_Abd_TRINITY_DN21329_c2_g1	9.07	7.7	16.41	12.49	6.3	4.51	9.98	1.66	3.25	0	0	1.91	1.51	8.31	1.58	0	0	2.96	1.98	3.58	0	2.79	1.85	2.76	ECEF_Abd_TRINITY_DN21329_c2_g1
ECEF_Abd_TRINITY_DN17639_c0_g1	4	0	1	0	2	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	ECEF_Abd_TRINITY_DN17639_c0_g1
ECEF_Wing3_TRINITY_DN27627_c0_g1	19.52	11.31	25	32	18	19	50	84	14	8	1.18	41	48	27	25	42	20	21	18	37	42	1	42	12	ECEF_Wing3_TRINITY_DN27627_c0_g1
ECEF_Abd_TRINITY_DN21457_c1_g2	371.13	37.25	81.02	88.87	61.05	16.78	6.18	11.55	33.23	0.93	0	16.21	21.34	2.18	0	0	22.75	14.85	13.71	6.83	23.32	5.97	0	0	ECEF_Abd_TRINITY_DN21457_c1_g2
ECEF_Leg_TRINITY_DN23607_c0_g1	32.9	114.31	108.73	119.29	75.43	75.92	176.94	138.83	48.68	31.73	17	220.21	311.63	156.78	301.52	372.94	41.07	88.28	79.35	125.44	220.24	27.53	192.54	28.29	ECEF_Leg_TRINITY_DN23607_c0_g1
ECEF_Eye_TRINITY_DN24473_c1_g1	21	57	39	71	61	29	70	76	89	37	9	157	181	147	227	286	24	107	69	45	130	16	75	20	ECEF_Eye_TRINITY_DN24473_c1_g1
ECEF_Leg_TRINITY_DN15132_c0_g2	2	1	9	1	0	2	2	0	6	2	0	1	1	1	2	1	4	6	5	1	0	1	2	0	ECEF_Leg_TRINITY_DN15132_c0_g2
ECEF_Leg_TRINITY_DN20732_c0_g1	125	128	234	185	107	140	335	278	66	37	15	307	735	223	396	544	42	61	61	147	267	14	141	7	ECEF_Leg_TRINITY_DN20732_c0_g1
ECEF_Abd_TRINITY_DN19384_c0_g1	401	425	663	779	323	417	846	761	283	104	68	998	1364	636	1003	1394	349	698	648	1030	1048	122	1177	99	ECEF_Abd_TRINITY_DN19384_c0_g1
ECEF_Eye_TRINITY_DN10493_c0_g2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ECEF_Eye_TRINITY_DN10493_c0_g2
ECEF_Wing3_TRINITY_DN29331_c0_g1	456.75	73.04	4770.5	5719.74	114.64	39.66	63.59	247.9	481.87	0	425.3	5173.92	449.89	61.39	52.1	782.15	683.27	69.17	6339.71	4899.47	724.8	58.97	751.48	79.9	ECEF_Wing3_TRINITY_DN29331_c0_g1
ECEF_Eye_TRINITY_DN19270_c0_g1	134	271	602	59	196	160	183	140	73	36	26	54	220	177	151	131	221	1009	696	480	620	170	1339	138	ECEF_Eye_TRINITY_DN19270_c0_g1
ECEF_Leg_TRINITY_DN19776_c4_g1	32	67	90	82	75	67	149	99	34	22	12	114	200	121	204	276	36	80	71	128	228	37	187	51	ECEF_Leg_TRINITY_DN19776_c4_g1
ECEF_Wing3_TRINITY_DN27150_c0_g1	142	212	341	227	213	213	468	408	159	51	27	267	452	254	390	556	90	138	112	230	319	35	211	48	ECEF_Wing3_TRINITY_DN27150_c0_g1
ECEF_Eye_TRINITY_DN22211_c0_g2	395	497	885	779	353	518	1149	1040	340	90	52	836	1465	703	1040	1285	398	525	498	757	1060	74	785	75	ECEF_Eye_TRINITY_DN22211_c0_g2
ECEF_Eye_TRINITY_DN23125_c0_g2	150.54	387.49	333.75	356.2	271.53	209.35	370.57	348.24	158.87	67.5	24.91	302.4	381.27	216.63	352.09	447.61	123.67	248.09	136.11	308.25	397.12	69.53	357.78	76.68	ECEF_Eye_TRINITY_DN23125_c0_g2
ECEF_Pro_TRINITY_DN23109_c1_g1	11.48	14.95	29.96	17.92	28.78	59.36	92.22	84.95	11.93	4.64	4.04	28.15	23.66	68.17	56.72	115.62	9.46	21.67	40.3	64.99	32.2	34.87	186.53	106.25	ECEF_Pro_TRINITY_DN23109_c1_g1
ECEF_Wing3_TRINITY_DN25310_c0_g1	3.82	18.31	0.83	0.06	5.65	0	0	2.56	3.07	11.69	0	7.94	15.01	9.03	12.43	9.96	0.6	7.44	4.33	0	4.09	0	0	0	ECEF_Wing3_TRINITY_DN25310_c0_g1
ECEF_Leg_TRINITY_DN5485_c0_g1	0	0	1.68	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1.2	1	0	0	ECEF_Leg_TRINITY_DN5485_c0_g1
ECEF_Leg_TRINITY_DN20215_c3_g2	70.58	84.74	135.9	88.75	50.12	44.67	98.89	115.25	23.69	15.61	2.27	70.76	98.31	28.16	48.92	96.38	41.76	90.12	64.25	58.6	76.08	4.24	139.84	11.94	ECEF_Leg_TRINITY_DN20215_c3_g2
ECEF_Abd_TRINITY_DN20444_c0_g2	2394.22	372.56	11907.7	13920.19	761.24	295.33	243.72	677.11	1876.25	28.45	870.72	11810.6	1887.62	117.31	112.65	1606.21	2084.8	252.28	11149.34	7946.68	2570.53	150.91	645.44	153.81	ECEF_Abd_TRINITY_DN20444_c0_g2
ECEF_Meso_TRINITY_DN25690_c0_g1	1	11	7	18	10	10	11	7	12	5	1	32	35	24	44	31	1	7	2	5	9	1	4	3	ECEF_Meso_TRINITY_DN25690_c0_g1
ECEF_Abd_TRINITY_DN19526_c0_g1	434	31	59	46	41	21	23	14	354	8	8	78	76	55	41	42	1365	419	516	450	522	51	281	33	ECEF_Abd_TRINITY_DN19526_c0_g1
ECEF_Leg_TRINITY_DN20879_c0_g1	37.25	22.57	25.4	14.29	19.67	6.83	5.26	5.19	82.82	11.6	3.79	52.12	37.79	13.82	6.22	22.57	23.33	70.44	3.59	37.48	26.53	4.35	9.62	0	ECEF_Leg_TRINITY_DN20879_c0_g1
ECEF_Wing2_TRINITY_DN19249_c0_g1	143	257	343	398	81	202	432	294	53	31	21	254	286	190	294	339	112	252	285	340	293	46	369	17	ECEF_Wing2_TRINITY_DN19249_c0_g1
ECEF_Wing3_TRINITY_DN27795_c0_g2	36.48	33.86	37.49	39.89	46.71	31.96	59.44	69	43.04	10.49	1	35.17	63.82	45.42	55.52	89.58	32.14	39.45	36.55	34.48	62.64	6.13	46.52	15	ECEF_Wing3_TRINITY_DN27795_c0_g2
ECEF_Eye_TRINITY_DN991_c0_g1	2	9	4	5	2	2	8	2	1	0	0	2	5	2	1	3	0	0	1	1	1	0	1	1	ECEF_Eye_TRINITY_DN991_c0_g1
ECEF_Abd_TRINITY_DN23627_c0_g1	530	692	1235	1762	326	538	1109	906	380	119	68	1726	1240	721	890	1126	440	623	1008	1237	871	160	952	81	ECEF_Abd_TRINITY_DN23627_c0_g1
ECEF_Eye_TRINITY_DN18883_c3_g4	0	12.75	7.26	2.11	29.16	15.99	26	25.42	1.78	0	4.08	3.42	42.11	13.91	24.04	18.62	2.44	6.78	7.57	13.49	4.59	0	10.32	4.11	ECEF_Eye_TRINITY_DN18883_c3_g4
ECEF_Pro_TRINITY_DN4949_c0_g1	184.31	247	348.85	455.8	115	186.4	306.44	329.25	123.47	48.22	26	407.69	413.08	277.16	334.76	427.39	227.63	538.81	449.67	549.56	531.05	107	958.01	76	ECEF_Pro_TRINITY_DN4949_c0_g1
